videoId, performerId, algorithm1, algorithm2, choice
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,0,4
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,3,0
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,3,2
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,2,4
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,4,4
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,4,4
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,3,1
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,1,4
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,1,1
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,2,2
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,4,4
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,1,1
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,2,2
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,0,0
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,3,4
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,4,4
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,0,0
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,0,0
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,2,0
617569,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,1,0
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,0,0
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,4,4
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,3,3
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,3,3
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,2,1
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,1,3
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,4,4
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,2,4
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,3,4
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,4,4
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,2,0
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,1,2
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,1,4
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,3,3
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,2,3
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,4,2
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,1,0
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,0,0
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,0,0
614834,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,0,4
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,2,2
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,4,4
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,2,2
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,3,0
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,2,2
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,2,4
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,0,2
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,1,1
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,1,1
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,1,2
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,0,0
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,0,1
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,3,2
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,3,1
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,4,4
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,3,4
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,0,4
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,4,4
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,4,4
15581,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,1,4
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,0,0
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,1,0
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,4,4
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,2,2
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,4,0
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,3,4
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,4,4
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,2,2
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,4,4
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,3,3
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,3,0
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,1,3
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,0,0
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,2,0
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,1,4
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,1,2
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,0,4
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,0,0
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,3,2
611962,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,2,4
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,4,4
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,4,4
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,3,3
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,2,2
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,2,2
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,2,2
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,3,3
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,3,2
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,1,0
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,4,4
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,1,4
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,0,2
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,0,4
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,2,4
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,0,3
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,1,2
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,3,4
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,0,1
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,1,1
631648,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,4,4
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,4,0
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,2,0
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,1,1
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,4,3
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,2,3
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,4,2
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,3,3
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,3,3
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,4,1
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,0,3
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,3,3
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,3,1,1
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,3,3
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,0,1
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,0,0
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,0,1,1
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,1,1
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,2,0,2
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,1,2,1
612014,user-f5591eb9-a0f4-429c-af10-eeb853341be4,4,2,2
